"jsonlite::fromJSON(""https://markets.businessinsider.com/Ajax/Chart_GetChartData?instrumentType=Bond&tkData=1,21760085,1330,184&from=20240108&to=20240122"")",
ids,isin
21760085,CA135087B451
121048404,CA135087P402
44036834,CA135087J546
53991397,CA135087K940
116204014,CA135087N340
24795156,CA135087D507
128862182,CA135087Q806
120634330,CA135087P246
130654501,CA135087R226
47312382,CA135087J967
57724626,CA135087L690
122922756,CA135087P659
125111425,CA135087Q319
57601476,CA135087L518
111141014,CA135087L930
112609862,CA135087M508
114433050,CA135087M920
119209842,CA135087N910
124578091,CA135087P816
50546643,CA135087K528
324796,CA135087VH40
126861078,CA135087Q640
28975906,CA135087E679
116912243,CA135087N423
847359,CA135087WL43
123653782,CA135087P733
130328741,CA135087Q988
490501,CA135087VW17
126528699,CA135087Q491
42965744,CA135087J397
122651336,CA135087P576
57501684,CA135087L443
128007448,CA135087Q723
117606959,CA135087N597
37720230,CA135087H235
33461441,CA135087F825
120914999,CA135087P329
119036843,CA135087N837
114466942,CA135087N266
117855494,CA135087N670
111293704,CA135087M276
114329463,CA135087M847
1321208,CA135087XG49
